Signal,Entry,StopLoss,Target,Exit,Result,HoldingCandles,PnL
BUY CALL,24593.5,24577.14,24626.22,24583.900390625,EOD EXIT,10,-9.6
BUY CALL,24774.3,24736.37,24850.16,24736.37,LOSS,1,-37.93
BUY PUT,24593.8,24550.08,24681.24,24681.24,WIN,1,87.44
BUY PUT,24582.9,24559.11,24630.48,24630.48,WIN,1,47.58
BUY PUT,24583.5,24563.24,24624.02,24624.02,WIN,1,40.52
BUY PUT,24581.8,24563.36,24618.68,24618.68,WIN,1,36.88
BUY PUT,24575.4,24556.74,24612.73,24612.73,WIN,1,37.33
BUY PUT,24589.2,24570.5,24626.59,24626.59,WIN,1,37.39
BUY PUT,24587.9,24569.31,24625.09,24625.09,WIN,1,37.19
BUY PUT,24590.9,24572.59,24627.52,24627.52,WIN,1,36.62
BUY PUT,24593.35,24576.14,24627.78,24627.78,WIN,1,34.43
BUY PUT,24585.9,24568.86,24619.98,24619.98,WIN,1,34.08
BUY PUT,24577.05,24559.69,24611.77,24611.77,WIN,1,34.72
BUY PUT,24568.8,24552.9,24600.61,24600.61,WIN,1,31.81
BUY PUT,24571.05,24554.86,24603.44,24603.44,WIN,1,32.39
BUY PUT,24555.45,24538.83,24588.7,24588.7,WIN,1,33.25
BUY PUT,24532.8,24514.11,24570.17,24570.17,WIN,1,37.37
BUY PUT,24532.75,24513.82,24570.61,24570.61,WIN,1,37.86
BUY PUT,24524.15,24504.48,24563.49,24563.49,WIN,1,39.34
BUY PUT,24521.9,24500.56,24564.59,24564.59,WIN,1,42.69
BUY PUT,24506.35,24484.6,24549.85,24549.85,WIN,1,43.5
BUY PUT,24511.3,24489.78,24554.35,24554.35,WIN,1,43.05
BUY PUT,24519.75,24497.31,24564.62,24564.62,WIN,1,44.87
BUY PUT,24519.35,24496.49,24565.08,24565.08,WIN,1,45.73
BUY PUT,24515.7,24492.9,24561.3,24561.3,WIN,1,45.6
BUY PUT,24507.55,24484.43,24553.79,24553.79,WIN,1,46.24
BUY PUT,24503.25,24479.71,24550.34,24550.34,WIN,1,47.09
BUY PUT,24493.35,24469.06,24541.93,24541.93,WIN,1,48.58
BUY PUT,24503.3,24478.92,24552.07,24552.07,WIN,1,48.77
BUY PUT,24500.05,24476.44,24547.27,24547.27,WIN,1,47.22
BUY PUT,24491.75,24469.81,24535.64,24535.64,WIN,1,43.89
BUY PUT,24493.65,24471.56,24537.83,24537.83,WIN,1,44.18
BUY PUT,24483.7,24461.74,24527.62,24527.62,WIN,1,43.92
BUY PUT,24479.6,24458.83,24521.13,24521.13,WIN,1,41.53
BUY PUT,24482.05,24461.94,24522.26,24522.26,WIN,1,40.21
BUY PUT,24491.8,24471.29,24532.82,24532.82,WIN,1,41.02
BUY PUT,24471.2,24450.13,24513.33,24513.33,WIN,1,42.13
BUY PUT,24463.7,24442.09,24506.91,24506.91,WIN,1,43.21
BUY PUT,24468.2,24446.01,24512.57,24512.57,WIN,1,44.37
BUY PUT,24453.8,24431.16,24499.08,24499.08,WIN,1,45.28
BUY PUT,24465.45,24443.02,24510.3,24510.3,WIN,1,44.85
BUY PUT,24446.7,24423.26,24493.59,24493.59,WIN,1,46.89
BUY PUT,24448.9,24424.59,24497.52,24497.52,WIN,1,48.62
BUY PUT,24445.4,24420.69,24494.83,24494.83,WIN,1,49.43
BUY PUT,24450.2,24425.15,24500.3,24500.3,WIN,1,50.1
BUY PUT,24462.35,24437.18,24512.69,24512.69,WIN,1,50.34
BUY CALL,24614.9,24575.63,24693.44,24612.0,EOD EXIT,10,-2.9
BUY CALL,24635.2,24593.38,24718.84,24593.38,LOSS,7,-41.82
BUY CALL,24625.3,24583.55,24708.8,24583.55,LOSS,7,-41.75
BUY CALL,24621.45,24581.55,24701.25,24611.80078125,EOD EXIT,10,-9.65
BUY CALL,24611.05,24570.74,24691.67,24615.900390625,EOD EXIT,10,4.85
BUY CALL,24622.05,24581.02,24704.11,24581.02,LOSS,10,-41.03
BUY CALL,24627.95,24586.98,24709.88,24586.98,LOSS,3,-40.97
BUY CALL,24628.35,24587.42,24710.22,24587.42,LOSS,2,-40.93
BUY CALL,24591.2,24547.75,24678.09,24594.400390625,EOD EXIT,10,3.2
BUY CALL,24594.05,24551.78,24678.6,24609.400390625,EOD EXIT,10,15.35
BUY CALL,24612.0,24568.31,24699.39,24568.31,LOSS,6,-43.69
BUY CALL,24605.9,24561.81,24694.09,24643.05078125,EOD EXIT,10,37.15
BUY CALL,24620.9,24574.95,24712.81,24574.95,LOSS,4,-45.95
BUY CALL,24611.8,24563.7,24708.01,24563.7,LOSS,3,-48.1
BUY PUT,24580.05,24548.65,24642.86,24642.86,WIN,1,62.81
BUY CALL,24648.3,24616.92,24711.06,24616.92,LOSS,4,-31.38
BUY PUT,24566.85,24545.65,24609.26,24609.26,WIN,1,42.41
BUY PUT,24571.95,24551.48,24612.88,24612.88,WIN,1,40.93
BUY PUT,24566.9,24546.82,24607.07,24607.07,WIN,1,40.17
BUY PUT,24543.85,24522.35,24586.85,24586.85,WIN,1,43.0
BUY PUT,24540.05,24518.33,24583.49,24583.49,WIN,1,43.44
BUY PUT,24532.05,24510.69,24574.78,24574.78,WIN,1,42.73
BUY PUT,24523.7,24502.16,24566.77,24566.77,WIN,1,43.07
BUY PUT,24522.65,24501.41,24565.12,24565.12,WIN,1,42.47
BUY PUT,24516.1,24494.85,24558.6,24558.6,WIN,1,42.5
BUY PUT,24530.8,24508.98,24574.45,24574.45,WIN,1,43.65
BUY PUT,24536.2,24512.84,24582.93,24582.93,WIN,1,46.73
BUY PUT,24535.05,24510.57,24584.01,24584.01,WIN,1,48.96
BUY PUT,24547.25,24521.57,24598.61,24598.61,WIN,1,51.36
BUY PUT,24526.0,24497.79,24582.42,24582.42,WIN,1,56.42
BUY PUT,24528.7,24500.25,24585.6,24585.6,WIN,1,56.9
BUY PUT,24520.05,24491.21,24577.74,24577.74,WIN,1,57.69
BUY PUT,24520.5,24491.75,24578.0,24578.0,WIN,1,57.5
BUY PUT,24503.15,24474.77,24559.9,24559.9,WIN,1,56.75
BUY CALL,24624.65,24595.04,24683.87,24614.55078125,EOD EXIT,10,-10.1
BUY CALL,24625.95,24594.2,24689.45,24620.69921875,EOD EXIT,10,-5.25
BUY CALL,24637.5,24604.72,24703.05,24630.849609375,EOD EXIT,10,-6.65
BUY CALL,24635.25,24601.7,24702.34,24619.900390625,EOD EXIT,10,-15.35
BUY CALL,24624.55,24589.95,24693.74,24638.650390625,EOD EXIT,10,14.1
BUY CALL,24632.95,24598.28,24702.29,24635.69921875,EOD EXIT,10,2.75
BUY CALL,24645.15,24610.75,24713.95,24610.75,LOSS,4,-34.4
BUY CALL,24659.65,24624.59,24729.77,24624.59,LOSS,3,-35.06
BUY CALL,24662.3,24628.86,24729.19,24628.86,LOSS,2,-33.44
BUY CALL,24636.35,24601.95,24705.15,24626.900390625,EOD EXIT,10,-9.45
BUY CALL,24614.55,24580.07,24683.51,24628.05078125,EOD EXIT,10,13.5
BUY CALL,24620.7,24589.62,24682.86,24630.69921875,EOD EXIT,10,10.0
BUY CALL,24630.85,24597.91,24696.72,24629.75,EOD EXIT,10,-1.1
BUY CALL,24619.9,24585.46,24688.77,24638.349609375,EOD EXIT,10,18.45
BUY CALL,24659.9,24637.29,24705.13,24637.29,LOSS,5,-22.61
