Signal,Entry,StopLoss,Target,Exit,Result,HoldingCandles,PnL
BUY CALL,24308.35,24282.76,24359.52,24282.76,LOSS,4,-25.59
BUY CALL,24301.05,24274.92,24353.32,24274.92,LOSS,5,-26.13
BUY CALL,24295.7,24269.87,24347.35,24269.87,LOSS,3,-25.83
BUY CALL,24282.65,24255.97,24336.01,24255.97,LOSS,2,-26.68
BUY CALL,24279.35,24249.15,24339.75,24255.69921875,EOD EXIT,10,-23.65
BUY PUT,24263.8,24236.68,24318.04,24318.04,WIN,1,54.24
BUY CALL,24350.5,24307.47,24436.56,24307.47,LOSS,4,-43.03
BUY CALL,24353.15,24309.25,24440.95,24309.25,LOSS,2,-43.9
BUY CALL,24345.75,24303.63,24430.0,24303.63,LOSS,2,-42.12
BUY CALL,24310.0,24267.41,24395.18,24352.099609375,EOD EXIT,10,42.1
BUY CALL,24349.3,24305.48,24436.93,24341.0,EOD EXIT,10,-8.3
BUY CALL,24358.65,24313.4,24449.15,24357.69921875,EOD EXIT,10,-0.95
BUY CALL,24354.8,24308.38,24447.65,24353.55078125,EOD EXIT,10,-1.25
BUY CALL,24357.55,24313.38,24445.89,24356.75,EOD EXIT,10,-0.8
BUY CALL,24353.85,24316.64,24428.27,24357.75,EOD EXIT,10,3.9
BUY CALL,24392.6,24376.83,24424.14,24424.14,WIN,5,31.54
BUY CALL,24396.15,24380.74,24426.98,24426.98,WIN,6,30.83
BUY CALL,24401.75,24386.32,24432.61,24398.80078125,EOD EXIT,10,-2.95
BUY CALL,24413.1,24397.19,24444.91,24397.19,LOSS,9,-15.91
BUY CALL,24408.75,24392.54,24441.16,24392.54,LOSS,10,-16.21
BUY CALL,24413.75,24396.57,24448.11,24396.57,LOSS,7,-17.18
BUY CALL,24414.45,24397.37,24448.61,24397.37,LOSS,6,-17.08
BUY CALL,24418.85,24401.12,24454.3,24401.12,LOSS,5,-17.73
BUY CALL,24414.8,24396.85,24450.7,24396.85,LOSS,4,-17.95
BUY CALL,24420.6,24403.11,24455.58,24403.11,LOSS,3,-17.49
BUY CALL,24423.6,24406.76,24457.28,24406.76,LOSS,2,-16.84
BUY CALL,24417.85,24400.47,24452.61,24400.47,LOSS,1,-17.38
BUY PUT,24391.15,24371.95,24429.55,24429.55,WIN,1,38.4
BUY PUT,24395.45,24375.5,24435.35,24435.35,WIN,1,39.9
BUY PUT,24394.3,24373.62,24435.67,24435.67,WIN,1,41.37
BUY PUT,24375.1,24352.53,24420.23,24420.23,WIN,1,45.13
BUY PUT,24373.4,24350.92,24418.37,24418.37,WIN,1,44.97
BUY PUT,24360.55,24338.76,24404.14,24404.14,WIN,1,43.59
BUY PUT,24366.7,24342.92,24414.26,24342.92,LOSS,1,-23.78
BUY CALL,24530.1,24485.8,24618.71,24567.19921875,EOD EXIT,10,37.1
BUY CALL,24527.05,24481.83,24617.49,24579.19921875,EOD EXIT,10,52.15
BUY CALL,24550.2,24504.94,24640.72,24588.150390625,EOD EXIT,10,37.95
BUY CALL,24553.45,24507.94,24644.47,24578.19921875,EOD EXIT,10,24.75
BUY CALL,24554.4,24509.45,24644.3,24580.80078125,EOD EXIT,10,26.4
BUY CALL,24558.05,24513.23,24647.7,24570.349609375,EOD EXIT,10,12.3
BUY CALL,24548.25,24503.03,24638.69,24584.19921875,EOD EXIT,10,35.95
BUY CALL,24559.6,24514.46,24649.89,24583.650390625,EOD EXIT,10,24.05
BUY CALL,24564.7,24520.82,24652.45,24588.849609375,EOD EXIT,10,24.15
